sensor_id,timestamp,sensor_type,sensor_reading,unit
sensor_001,2024-11-23 22:15:21.019651,temperature,18.93,Celsius
sensor_001,2024-11-23 22:16:21.019651,temperature,28.06,Celsius
sensor_001,2024-11-23 22:17:21.019651,temperature,28.84,Celsius
sensor_001,2024-11-23 22:18:21.019651,temperature,31.73,Celsius
sensor_001,2024-11-23 22:19:21.019651,temperature,30.01,Celsius
sensor_001,2024-11-23 22:20:21.019651,temperature,19.59,Celsius
sensor_001,2024-11-23 22:21:21.019651,temperature,27.11,Celsius
sensor_001,2024-11-23 22:22:21.019651,temperature,20.97,Celsius
sensor_001,2024-11-23 22:23:21.019651,temperature,25.84,Celsius
sensor_001,2024-11-23 22:24:21.019651,temperature,19.03,Celsius
sensor_001,2024-11-23 22:25:21.019651,temperature,23.79,Celsius
sensor_001,2024-11-23 22:26:21.019651,temperature,23.32,Celsius
sensor_001,2024-11-23 22:27:21.019651,temperature,21.16,Celsius
sensor_001,2024-11-23 22:28:21.019651,temperature,18.58,Celsius
sensor_002,2024-11-23 22:15:21.019651,air_quality,72.37,AQI
sensor_002,2024-11-23 22:16:21.019651,air_quality,66.18,AQI
sensor_002,2024-11-23 22:17:21.019651,air_quality,92.93,AQI
sensor_002,2024-11-23 22:18:21.019651,air_quality,110.13,AQI
sensor_002,2024-11-23 22:19:21.019651,air_quality,142.08,AQI
sensor_002,2024-11-23 22:20:21.019651,air_quality,123.25,AQI
sensor_002,2024-11-23 22:21:21.019651,air_quality,103.82,AQI
sensor_002,2024-11-23 22:22:21.019651,air_quality,147.21,AQI
sensor_002,2024-11-23 22:23:21.019651,air_quality,117.76,AQI
sensor_002,2024-11-23 22:24:21.019651,air_quality,80.63,AQI
sensor_002,2024-11-23 22:25:21.019651,air_quality,172.66,AQI
sensor_002,2024-11-23 22:26:21.019651,air_quality,65.58,AQI
sensor_002,2024-11-23 22:27:21.019651,air_quality,142.67,AQI
sensor_002,2024-11-23 22:28:21.019651,air_quality,186.48,AQI
sensor_003,2024-11-23 22:15:21.019651,air_quality,173.98,AQI
sensor_003,2024-11-23 22:16:21.019651,air_quality,101.66,AQI
sensor_003,2024-11-23 22:17:21.019651,air_quality,58.56,AQI
sensor_003,2024-11-23 22:18:21.019651,air_quality,154.89,AQI
sensor_003,2024-11-23 22:19:21.019651,air_quality,53.0,AQI
sensor_003,2024-11-23 22:20:21.019651,air_quality,68.26,AQI
sensor_003,2024-11-23 22:21:21.019651,air_quality,78.42,AQI
sensor_003,2024-11-23 22:22:21.019651,air_quality,104.2,AQI
sensor_003,2024-11-23 22:23:21.019651,air_quality,94.84,AQI
sensor_003,2024-11-23 22:24:21.019651,air_quality,195.98,AQI
sensor_003,2024-11-23 22:25:21.019651,air_quality,121.74,AQI
sensor_003,2024-11-23 22:26:21.019651,air_quality,148.24,AQI
sensor_003,2024-11-23 22:27:21.019651,air_quality,146.92,AQI
sensor_003,2024-11-23 22:28:21.019651,air_quality,136.93,AQI
sensor_004,2024-11-23 22:15:21.019651,humidity,35.5,%
sensor_004,2024-11-23 22:16:21.019651,humidity,36.85,%
sensor_004,2024-11-23 22:17:21.019651,humidity,61.23,%
sensor_004,2024-11-23 22:18:21.019651,humidity,54.34,%
sensor_004,2024-11-23 22:19:21.019651,humidity,58.13,%
sensor_004,2024-11-23 22:20:21.019651,humidity,61.33,%
sensor_004,2024-11-23 22:21:21.019651,humidity,32.62,%
sensor_004,2024-11-23 22:22:21.019651,humidity,39.46,%
sensor_004,2024-11-23 22:23:21.019651,humidity,67.95,%
sensor_004,2024-11-23 22:24:21.019651,humidity,44.5,%
sensor_004,2024-11-23 22:25:21.019651,humidity,68.46,%
sensor_004,2024-11-23 22:26:21.019651,humidity,48.67,%
sensor_004,2024-11-23 22:27:21.019651,humidity,44.5,%
sensor_004,2024-11-23 22:28:21.019651,humidity,31.56,%
sensor_005,2024-11-23 22:15:21.019651,air_quality,99.98,AQI
sensor_005,2024-11-23 22:16:21.019651,air_quality,78.24,AQI
sensor_005,2024-11-23 22:17:21.019651,air_quality,61.46,AQI
sensor_005,2024-11-23 22:18:21.019651,air_quality,92.37,AQI
sensor_005,2024-11-23 22:19:21.019651,air_quality,89.96,AQI
sensor_005,2024-11-23 22:20:21.019651,air_quality,105.82,AQI
sensor_005,2024-11-23 22:21:21.019651,air_quality,164.26,AQI
sensor_005,2024-11-23 22:22:21.019651,air_quality,95.83,AQI
sensor_005,2024-11-23 22:23:21.019651,air_quality,158.96,AQI
sensor_005,2024-11-23 22:24:21.019651,air_quality,157.85,AQI
sensor_005,2024-11-23 22:25:21.019651,air_quality,187.4,AQI
sensor_005,2024-11-23 22:26:21.019651,air_quality,124.73,AQI
sensor_005,2024-11-23 22:27:21.019651,air_quality,94.37,AQI
sensor_005,2024-11-23 22:28:21.019651,air_quality,138.32,AQI
sensor_006,2024-11-23 22:15:21.019651,air_quality,110.8,AQI
sensor_006,2024-11-23 22:16:21.019651,air_quality,69.36,AQI
sensor_006,2024-11-23 22:17:21.019651,air_quality,81.96,AQI
sensor_006,2024-11-23 22:18:21.019651,air_quality,158.38,AQI
sensor_006,2024-11-23 22:19:21.019651,air_quality,170.31,AQI
sensor_006,2024-11-23 22:20:21.019651,air_quality,198.01,AQI
sensor_006,2024-11-23 22:21:21.019651,air_quality,95.14,AQI
sensor_006,2024-11-23 22:22:21.019651,air_quality,180.4,AQI
sensor_006,2024-11-23 22:23:21.019651,air_quality,85.31,AQI
sensor_006,2024-11-23 22:24:21.019651,air_quality,62.9,AQI
sensor_006,2024-11-23 22:25:21.019651,air_quality,97.31,AQI
sensor_006,2024-11-23 22:26:21.019651,air_quality,157.2,AQI
sensor_006,2024-11-23 22:27:21.019651,air_quality,145.97,AQI
sensor_006,2024-11-23 22:28:21.019651,air_quality,79.18,AQI
sensor_007,2024-11-23 22:15:21.019651,temperature,30.19,Celsius
sensor_007,2024-11-23 22:16:21.019651,temperature,34.01,Celsius
sensor_007,2024-11-23 22:17:21.019651,temperature,22.63,Celsius
sensor_007,2024-11-23 22:18:21.019651,temperature,15.83,Celsius
sensor_007,2024-11-23 22:19:21.019651,temperature,27.37,Celsius
sensor_007,2024-11-23 22:20:21.019651,temperature,26.08,Celsius
sensor_007,2024-11-23 22:21:21.019651,temperature,24.82,Celsius
sensor_007,2024-11-23 22:22:21.019651,temperature,22.38,Celsius
sensor_007,2024-11-23 22:23:21.019651,temperature,15.49,Celsius
sensor_007,2024-11-23 22:24:21.019651,temperature,18.58,Celsius
sensor_007,2024-11-23 22:25:21.019651,temperature,30.63,Celsius
sensor_007,2024-11-23 22:26:21.019651,temperature,21.26,Celsius
sensor_007,2024-11-23 22:27:21.019651,temperature,25.49,Celsius
sensor_007,2024-11-23 22:28:21.019651,temperature,23.25,Celsius
sensor_008,2024-11-23 22:15:21.019651,temperature,23.32,Celsius
sensor_008,2024-11-23 22:16:21.019651,temperature,32.86,Celsius
sensor_008,2024-11-23 22:17:21.019651,temperature,30.45,Celsius
sensor_008,2024-11-23 22:18:21.019651,temperature,16.11,Celsius
sensor_008,2024-11-23 22:19:21.019651,temperature,16.01,Celsius
sensor_008,2024-11-23 22:20:21.019651,temperature,27.2,Celsius
sensor_008,2024-11-23 22:21:21.019651,temperature,23.24,Celsius
sensor_008,2024-11-23 22:22:21.019651,temperature,23.47,Celsius
sensor_008,2024-11-23 22:23:21.019651,temperature,20.24,Celsius
sensor_008,2024-11-23 22:24:21.019651,temperature,26.22,Celsius
sensor_008,2024-11-23 22:25:21.019651,temperature,25.91,Celsius
sensor_008,2024-11-23 22:26:21.019651,temperature,21.94,Celsius
sensor_008,2024-11-23 22:27:21.019651,temperature,19.02,Celsius
sensor_008,2024-11-23 22:28:21.019651,temperature,24.45,Celsius
sensor_009,2024-11-23 22:15:21.019651,humidity,36.29,%
sensor_009,2024-11-23 22:16:21.019651,humidity,57.55,%
sensor_009,2024-11-23 22:17:21.019651,humidity,63.66,%
sensor_009,2024-11-23 22:18:21.019651,humidity,52.37,%
sensor_009,2024-11-23 22:19:21.019651,humidity,30.19,%
sensor_009,2024-11-23 22:20:21.019651,humidity,64.77,%
sensor_009,2024-11-23 22:21:21.019651,humidity,37.48,%
sensor_009,2024-11-23 22:22:21.019651,humidity,35.14,%
sensor_009,2024-11-23 22:23:21.019651,humidity,57.86,%
sensor_009,2024-11-23 22:24:21.019651,humidity,63.23,%
sensor_009,2024-11-23 22:25:21.019651,humidity,64.38,%
sensor_009,2024-11-23 22:26:21.019651,humidity,51.34,%
sensor_009,2024-11-23 22:27:21.019651,humidity,68.08,%
sensor_009,2024-11-23 22:28:21.019651,humidity,59.92,%
sensor_010,2024-11-23 22:15:21.019651,humidity,56.19,%
sensor_010,2024-11-23 22:16:21.019651,humidity,62.6,%
sensor_010,2024-11-23 22:17:21.019651,humidity,57.49,%
sensor_010,2024-11-23 22:18:21.019651,humidity,50.73,%
sensor_010,2024-11-23 22:19:21.019651,humidity,66.88,%
sensor_010,2024-11-23 22:20:21.019651,humidity,42.85,%
sensor_010,2024-11-23 22:21:21.019651,humidity,49.65,%
sensor_010,2024-11-23 22:22:21.019651,humidity,59.68,%
sensor_010,2024-11-23 22:23:21.019651,humidity,32.04,%
sensor_010,2024-11-23 22:24:21.019651,humidity,68.82,%
sensor_010,2024-11-23 22:25:21.019651,humidity,47.07,%
sensor_010,2024-11-23 22:26:21.019651,humidity,69.04,%
sensor_010,2024-11-23 22:27:21.019651,humidity,40.56,%
sensor_010,2024-11-23 22:28:21.019651,humidity,42.61,%
